Алтай хотхонд 52.19м2 2 өрөө байр	178000000.00	Алтай хотхон	52.19 м²	14	2022	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	3410615.06035639
Нисэхийн тойргийн ард 2 өрөө байр	82000000.00	Нисэх	42.73 м²	4	2022	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	1919026.4451205244
Кино үйлдвэрт 2 өрөө байр 50м2	140000000.00	15-р хороолол	50.0 м²	2	2014	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2800000.0
Коёо таунд 2 өрөө байр	167500000.00	Алтай хотхон	52.37 м²	7	2022	Баянгол	Лизинггүй	Ашиглалтад орсон	3198396.0282604545
Дөлгөөн нуурт 2 өрөө	150000000.00	Дөлгөөн нуур	49.0 м²	5	2023	Сүхбаатар	Лизинггүй	Ашиглалтад ороогүй	3061224.4897959186
Бзд, 13 хороолол бөхийн өргөөний баруун талд 62.1мкв 2 өрөө орон сууц	204000000.00	13-р хороолол	62.1 м²	10	2015	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3285024.1545893718
10-р хороолол 56мк 2 өрөө байр	125000000.00	10-р хороолол	56.0 м²	5	2012	Баянгол	Лизинггүй	Ашиглалтад орсон	2232142.8571428573
Москва хороололд 45м2 2 өрөө байр	105000000.00	Москва хороолол	45.0 м²	11	2010	Сонгино Хайрхан	Лизинггүй	Ашиглалтад орсон	2333333.3333333335
Tsirk 2uruu	290000000.00	220 мянгат	63.0 м²	15	2013	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	4603174.603174604
Рашаант апартмент 2 өрөө орон сууц	131872000.0	Бусад	41.21 м²	16	2022	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	3200000.0
Аз жаргал хотхонд 2 өрөө	144942000.00	100 айл	49.98 м²	5	2023	Сүхбаатар	Банкны лизингтэй	Ашиглалтад орсон	2900000.0
Худ төв цэнгэлдэхтийн зүүн хойн глобал таун 2 өрөө байр	331500000.0	120 мянгат	65.0 м²	21	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	5100000.0
Цэлмэг хотхонд 2 өрөө	205000000.00	Цэлмэг хотхон	83.07 м²	4	2016	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	2467798.24244613
Sky residence3 47.42 мкв 2 өрөө	118000000.00	16-р хороолол	47.42 м²	16	2022	Баянзүрх	Лизинггүй	Ашиглалтад ороогүй	2488401.518346689
Жуков хотхон	130000000.00	15-р хороолол	48.0 м²	8	2017	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2708333.3333333335
Сансрын колонкын хойно 38.6м.кв -2 өрөө	91000000.00	Сансар	38.6 м²	1	2023	Баянзүрх	Хувь лизингтэй	Ашиглалтад ороогүй	2357512.9533678754
21-р хороололд 56.85мкв 2 өрөө	99000000.00	21-р хороолол	56.85 м²	9	2023	Сонгино Хайрхан	Лизинггүй	Ашиглалтад ороогүй	1741424.802110818
Бгд 3,4-р хороолол гал тогоо тусдаа 2 өрөө	187000000.00	3, 4 хороолол	69.0 м²	2	2006	Баянгол	Лизинггүй	Ашиглалтад орсон	2710144.927536232
Time tower хотхонд 2өрөө	220000000.00	Бусад	63.0 м²	4	2016	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3492063.492063492
Арцат өргөө апартмент 2өрөө	127920000.00	Бусад	53.0 м²	5	2022	Хан-Уул	Хувь лизингтэй	Ашиглалтад ороогүй	2413584.9056603773
Нисхэд оюу хотхон 2 өрөө 58м2	102500000.00	Нисэх	58.26 м²	8	2023	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	1759354.6172330931
Кино үйлдвэрт 35.45мк 2 өрөө	88600000.00	15-р хороолол	35.45 м²	4	2013	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2499294.7813822282
Алтай хотхонд 63мкв 2 өрөө байр .	165000000.00	Алтай хотхон	63.0 м²	4	2014	Баянгол	Лизинггүй	Ашиглалтад орсон	2619047.619047619
Сансарт 2 өрөө байр	134406000.0	Сансар	49.78 м²	3	2023	Баянзүрх	Лизинггүй	Ашиглалтад ороогүй	2700000.0
Happy residence 2 өрөө	182000000.00	Бусад	49.13 м²	5	2021	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3704457.561571341
Narnii horoolold 56,52м2 2 uruu	210000000.00	Нарны хороолол	56.52 м²	12	2014	Баянгол	Лизинггүй	Ашиглалтад орсон	3715498.9384288746
64.55 м2 тай 2 өрөө байр	215000000.00	Бусад	64.55 м²	8	2021	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	3330751.3555383426
Яармаг хүннү вилла хотхонд 2 өрөө 76 м2 орон сууц	240000000.00	Яармаг	76.0 м²	6	2018	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3157894.736842105
Rich apartment хотхонд орон сууц 49м2 2 өрөө байр	125000000.00	Алтай хотхон	48.9 м²	6	2017	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	2556237.218813906
11р хороололд 2 өрөө	152000000.00	11-р хороолол	52.0 м²	2	1999	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	2923076.923076923
Шинэ амгаланд 2 өрөө 45.38мкв	106643000.00	Амгалан	45.38 м²	9	2022	Баянзүрх	Хувь лизингтэй	Ашиглалтад ороогүй	2350000.0
Active garden хотхонд 2 өрөө 56,07м2	212800000.0	Яармаг	56.0 м²	6	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3800000.0
Шинэ айл хотхонд 2 өрөө байр	154000000.0	100 айл	55.0 м²	6	2014	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2800000.0
Москва хороололд 69м2 2 өрөө байр	160885000.0	1-р хороолол	69.95 м²	3	2013	Сонгино Хайрхан	Банкны лизингтэй	Ашиглалтад орсон	2300000.0
Бзд, 13-р хороолол, шинэ монгол сургуулийн хойд талд 2 өрөө байр	195000000.00	13-р хороолол	63.0 м²	2	2011	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3095238.095238095
4-р хороололд 2 өрөө байр	192500000.0	3, 4 хороолол	77.0 м²	4	2008	Баянгол	Лизинггүй	Ашиглалтад орсон	2500000.0
9н эрдэнэ хотхонд 2өрөө байр	192500000.0	Нарны хороолол	55.0 м²	12	2022	Баянгол	Лизинггүй	Ашиглалтад орсон	3500000.0
General town	178000000.00	Зайсан	66.0 м²	7	2015	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2696969.696969697
Өгөөмөр захын хойно 2 өрөө	90000000.00	Өгөөмөр захын зүүн	42.0 м²	11	2015	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2142857.1428571427
Алтан тэвш 2 өрөө байр	171000000.00	Бусад	62.0 м²	2	2022	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2758064.5161290322
Дөлгөөн нуурт 2 өрөө	168000000.00	Дөлгөөн нуур	58.0 м²	7	2020	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	2896551.724137931
Nisehed 2 uruu bair	125000000.00	Нисэх	57.0 м²	2	2023	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	2192982.456140351
Яармагт шинэ өргөө хороололд 62м2 2өрөө байр	150000000.00	Яармаг	62.0 м²	1	2016	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2419354.8387096776
Баянзүрх дүүрэгт 2 өрөө байр	125000000.00	13-р хороолол	40.0 м²	3	2014	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3125000.0
Офицер хороолол 1-р блок 2 өрөө байр	150000000.00	Офицер	54.0 м²	16	2023	Баянзүрх	Хувь лизингтэй	Ашиглалтад ороогүй	2777777.777777778
Өгөөмөр-гал тогоо тусдаа 2 өрөө 53,63 м2 байр	96000000.00	14-р хороолол	53.63 м²	4	2008	Баянзүрх	Лизинггүй	Ашиглалтад орсон	1790042.8864441542
Төмөр замд 2 өрөө байр	130000000.00	25-р эмийн сан	28.0 м²	2	1986	Баянгол	Лизинггүй	Ашиглалтад орсон	4642857.142857143
Зайсан соёмботой уулын хажууд 63мкв 2 өрөө	151200000.0	Зайсан	63.0 м²	2	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2400000.0
Кино үйлдвэрт 2 өрөө байр 43м2	120000000.00	15-р хороолол	43.0 м²	4	2014	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2790697.6744186045
Сбд 9-р хороо дөлгөөннуур апартмент2-т 2 өрөө байр	135000000.00	Дөлгөөн нуур	48.79 м²	6	2022	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	2766960.442713671
Кайду сити хотхонд 2 өрөө оронсууц	169785000.00	Офицер	51.0 м²	6	2023	Баянзүрх	Хувь лизингтэй	Ашиглалтад ороогүй	3329117.6470588236
Бзд Нарт хотхонд 46,42м, 2 өрөө байр	149000000.00	14-р хороолол	46.42 м²	10	2022	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3209823.352003447
Ардын эрхэд 2 өрөө	170000000.00	Бусад	81.72 м²	1	1992	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	2080274.1067058248
Garden residence хотхонд 2 өрөө	100000000.00	Бусад	36.37 м²	3	2018	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2749518.8342040144
